date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-08-13,sh.600036,35.3732852500,35.6723460500,34.8779658000,34.8873114500,35.3172113500,64048694,2413002932.9500,2,0.310500,1,-1.217300,0
2020-08-14,sh.600036,34.8873114500,35.5882352000,34.8218919000,35.5134700000,34.8873114500,67065745,2530430881.6900,2,0.325100,1,1.794800,0
2020-08-17,sh.600036,35.5695439000,36.9433544500,35.5695439000,36.4947632500,35.5134700000,148309043,5782809861.4800,2,0.718900,1,2.763200,0
2020-08-18,sh.600036,36.4480350000,36.5975654000,36.0087894500,36.3078502500,36.4947632500,57366054,2225879678.3400,2,0.278100,1,-0.512200,0
2020-08-19,sh.600036,36.2985046000,36.5228002000,35.8405677500,35.8405677500,36.3078502500,56393694,2185921383.6700,2,0.273400,1,-1.287000,0
2020-08-20,sh.600036,35.7097286500,35.7284199500,34.7003984500,35.0648788000,35.8405677500,73440819,2759025986.0700,2,0.356000,1,-2.164300,0
2020-08-21,sh.600036,35.5134700000,35.5228156500,35.0088049000,35.2985200500,35.0648788000,56125442,2115951199.6300,2,0.272100,1,0.666300,0
2020-08-24,sh.600036,35.5882352000,35.8031851500,34.9246940500,35.0461875000,35.2985200500,62098893,2346712056.5900,2,0.301000,1,-0.714900,0
2020-08-25,sh.600036,35.3265570000,35.7003830000,34.9714223000,35.1209527000,35.0461875000,54524608,2056714023.5600,2,0.264300,1,0.213300,0
2020-08-26,sh.600036,35.2331005000,35.4106678500,34.5882506500,34.7938549500,35.1209527000,62700022,2344833012.6100,2,0.303900,1,-0.931300,0
2020-08-27,sh.600036,34.7938549500,34.8499288500,34.0275116500,34.4854485000,34.7938549500,57481502,2112135810.4500,2,0.278600,1,-0.886400,0
2020-08-28,sh.600036,34.4387202500,35.9340242500,34.2050790000,35.9340242500,34.4854485000,118294177,4472784976.2300,2,0.573400,1,4.200500,0
2020-08-31,sh.600036,35.9807525000,36.4480350000,35.0929157500,35.2237548500,35.9340242500,119031365,4573760871.7800,2,0.577000,1,-1.976600,0
2020-09-01,sh.600036,35.0088049000,35.2331005000,34.5882506500,34.9714223000,35.2237548500,71275936,2662847631.5900,2,0.345500,1,-0.716400,0
2020-09-02,sh.600036,35.0368418500,35.1209527000,34.3919920000,34.7658180000,34.9714223000,79722127,2960833704.1200,2,0.386500,1,-0.587900,0
2020-09-03,sh.600036,34.6910528000,34.9807679500,34.3546094000,34.5602137000,34.7658180000,64047956,2369898817.2300,2,0.310500,1,-0.591400,0
2020-09-04,sh.600036,34.2331159500,34.4761028500,33.9714377500,34.3919920000,34.5602137000,48543721,1780424306.1900,2,0.235300,1,-0.486700,0
2020-09-07,sh.600036,34.3919920000,35.1209527000,34.2891898500,34.3826463500,34.3919920000,61613878,2285992289.1100,2,0.298700,1,-0.027200,0
2020-09-08,sh.600036,34.7471267000,35.1583353000,34.5975963000,35.1302983500,34.3826463500,68354491,2558811209.3200,2,0.331400,1,2.174500,0
2020-09-09,sh.600036,34.8312375500,35.4667417500,34.7284354000,35.1396440000,35.1302983500,60543334,2276406651.9700,2,0.293500,1,0.026600,0
2020-09-10,sh.600036,35.4013222000,35.4293591500,34.9246940500,35.2331005000,35.1396440000,55014607,2072364500.8900,2,0.266700,1,0.266000,0
2020-09-11,sh.600036,35.3919765500,35.4013222000,34.5975963000,34.8032006000,35.2331005000,55310513,2064258657.9200,2,0.268100,1,-1.220200,0
2020-09-14,sh.600036,34.9527310000,35.1209527000,34.6443245500,34.9060027500,34.8032006000,46023997,1713839186.7800,2,0.223100,1,0.295400,0
2020-09-15,sh.600036,34.8218919000,35.5975808500,34.7938549500,35.4200135000,34.9060027500,53080495,2003397793.2800,2,0.257300,1,1.472600,0
2020-09-16,sh.600036,35.4760874000,35.7938395000,35.3078657000,35.5695439000,35.4200135000,47887482,1822671349.4300,2,0.232100,1,0.422200,0
2020-09-17,sh.600036,35.6069265000,35.9527155500,35.3732852500,35.3919765500,35.5695439000,55771354,2127941226.6300,2,0.270400,1,-0.499200,0
2020-09-18,sh.600036,35.3732852500,36.4386893500,35.3265570000,36.4386893500,35.3919765500,108169240,4177287387.8500,2,0.524400,1,2.957500,0
2020-09-21,sh.600036,36.4480350000,36.5695284500,36.0742090000,36.0742090000,36.4386893500,50152092,1945258026.8100,2,0.243100,1,-1.000300,0
2020-09-22,sh.600036,35.9807525000,36.0742090000,35.2704831000,35.4013222000,36.0742090000,58311689,2223417612.3500,2,0.282700,1,-1.865300,0
2020-09-23,sh.600036,35.3452483000,35.5601982500,34.9527310000,35.0461875000,35.4013222000,43076028,1621415675.3700,2,0.208800,1,-1.003200,0
2020-09-24,sh.600036,34.9060027500,34.9060027500,34.4854485000,34.6349789000,35.0461875000,54027975,2003636080.2800,2,0.261900,1,-1.173300,0
2020-09-25,sh.600036,34.6723615000,34.9527310000,34.6536702000,34.7471267000,34.6349789000,35225153,1312142060.4200,2,0.170800,1,0.323800,0
2020-09-28,sh.600036,34.7658180000,35.1863722500,34.6256332500,34.8125462500,34.7471267000,35324476,1317478208.0200,2,0.171200,1,0.188300,0
2020-09-29,sh.600036,34.9060027500,34.9994592500,33.8966725500,33.9340551500,34.8125462500,79668910,2920847323.2300,2,0.386200,1,-2.523500,0
